Year,artist_link,Descrição,Fonte de Pesquisa,Error,Type,Século,Artist,Título,url,Década,img_url,Technique,Height (cm),Width (cm),Price (BRL),Price (USD),Technique_fix,Sold,Year of sale
,https://www.catalogodasartes.com.br/cotacao/artista/Marc%20Chagall/,Exemplar nº 50/100.,Leilao James Lisboa março 2011,False,Pinturas,,Marc Chagall,Guerreiro,https://www.catalogodasartes.com.br/obra/BUtBP/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_54659.jpg,litogravura,28.0,36.0,5000.0,3012.05,reprodução,True,2011
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"gravura assinado inferior direito, numerado 13/15 inferior esquerdo.Esta obra entrou em pregão com lance inicial de R$ 15.000,00",Bolsa de Arte leilão 01 de Setembro de 2011,False,Pinturas,,Candido Portinari,Vaso com flores,https://www.catalogodasartes.com.br/obra/tDteU/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_61604.jpg,Gravura,18.0,24.0,18000.0,11042.94,reprodução,True,2011
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,Figura feminina - desenho a lápis - medindo 48x32cm.- assinado e datado no canto inferior direito. Texto transcrito do catálogo do leilão.,Leilão Pro Arte - 18 de Junho de 2018,False,Pinturas,,Candido Portinari,Figura feminina,https://www.catalogodasartes.com.br/obra/APBUPD/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_795491.jpg,Desenho à lápis,32.0,48.0,30000.0,7957.56,desenho,False,2018
1936.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Braço 42 x 34 cm carvão sobre papel 1936 Reproduzido no Raisonné do artista no vol. I, na pág. 334. Registro 572 [FCO 149]. - Texto transcrito do catálogo do leilão.",Leilão James Lisboa 24 e 25 de Outubro de 2017,False,Pinturas,20.0,Candido Portinari,Braço,https://www.catalogodasartes.com.br/obra/AtzAeP/,30.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_763709.jpg,Carvão sobre papel,,,28000.0,8695.65,desenho,False,2017
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,Peixes - SEM ASSINATURA,Leilão Vitor Braga 03 de Dezembro de 2013,False,Pinturas,,Candido Portinari,Peixes - SEM ASSINATURA,https://www.catalogodasartes.com.br/obra/DzGUDc/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_132418.jpg,AZULEJO,30.0,15.0,3900.0,1666.67,outro,False,2013
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"(1903 -1962) Carregadores de café Óleo s/ madeira Medidas: 14,5 x 35 cm Ass. inf. esquerdo - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$ 300.000,00",Leilão Paiva Frade 01 de Janeiro de 2017,False,Pinturas,,Candido Portinari,Carregadores de café,https://www.catalogodasartes.com.br/obra/AUtDcz/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_746183.jpg,Óleo sobre madeira,35.0,14.5,300000.0,91463.41,pintura,True,2017
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,,Leilão Angela Maltarollo 09 de Março de 2013,False,Pinturas,,Victor Vasarely,Sem Título,https://www.catalogodasartes.com.br/obra/PcGGz/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_98223.jpg,Serigrafia,42.0,60.0,2000.0,1020.41,reprodução,False,2013
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,Sem título - serigrafia EA 67 x 67,Leilão Firenze 11 de Novembro de 2013,False,Pinturas,,Victor Vasarely,Sem titulo,https://www.catalogodasartes.com.br/obra/DGPPUP/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_129949.jpg,Serigrafia,67.0,67.0,4800.0,2077.92,reprodução,False,2013
1945.0,https://www.catalogodasartes.com.br/cotacao/artista/Mario%20Zanini%20-%20M%C3%A1rio%20Zanini/,,Bolsa de Arte do Rio de Janeiro,False,Pinturas,20.0,Mario Zanini,Marinha,https://www.catalogodasartes.com.br/obra/cUG/,40.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_842.jpg,Guache,32.5,19.0,3150.0,2812.5,pintura,True,1997
1955.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"CÂNDIDO PORTINARI (1903 – 1962) “Mãe com filho”, 1955. Medidas: 24 x 42 cm. Desenho a grafite, crayon e crayon colorido sobre papel Estudo para painel ""Guerra"", e para a pintura ""Mulher Ajoelhada com filho morto"". - Texto transcrito do catálogo do leilão.",Leilão Paiva Frade 8 e 9 de Março de 2022,False,Pinturas,20.0,Candido Portinari,Mãe com filho,https://www.catalogodasartes.com.br/obra/DeGezBe/,50.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1020350.jpg,Técnica mista sobre papel,42.0,24.0,60000.0,11811.02,outro,False,2022
