Year,artist_link,Descrição,Fonte de Pesquisa,Type,Artist,Título,url,img_url,Medium,Error,0,0.1,0.2,0.3,0.4,Height (cm),Width (cm),Price (BRL),Price (USD),Medium_type,Sold,Year of sale
1949.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"O Espantalho 41 x 33 cm água forte sobre papel ass. inf. dir. 1949 - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$ 6.000,00",Leilão James Lisboa 21 de Março de 2016,Pinturas,Candido Portinari (1903-1962),O Espantalho,https://www.catalogodasartes.com.br/obra/ADAPcB/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_717985.jpg,Água-forte sobre papel,False,,,,,,33.0,41.0,6100.0,1689.75,reprodução,True,2016
1958.0,https://www.catalogodasartes.com.br/cotacao/artista/Alberto%20Guignard%20-%20Alberto%20da%20Veiga%20Guignard/,Alberto da Veiga Guignard - Freira - osm - 1958 - 60 x 45 - Texto transcrito do catálogo do leilão.,Leilão Firenze 23 de Novembro de 2021,Pinturas,Alberto Guignard - Alberto da Veiga Guignard,Freira,https://www.catalogodasartes.com.br/obra/PPBzUU/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_995344.jpg,Óleo sobre madeira,False,,,,,,45.0,60.0,85000.0,15070.92,pintura,False,2021
,https://www.catalogodasartes.com.br/cotacao/artista/Ibere%20Camargo%20-%20Iber%C3%AA%20Camargo/,"Iberê Camargo - Iberê Bassani de Camargo (Restinga Seca RS 1914 - Porto Alegre RS 1994), ""Duas Figuras"" , Serigrafia em cores impressa sobre papel. Edição 76 de 100. Med 70 x 100 (MI); 93 x 123 (ME). - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$3.600,00",Leilão Acervos 28 e 29 d setembro de 2022,Pinturas,Ibere Camargo - Iberê Camargo,Duas Figuras,https://www.catalogodasartes.com.br/obra/DetBGcB/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1065285.jpg,serigrafia em cores impressa s/ papel,False,,,,,,123.0,93.0,3600.0,641.71,reprodução,True,2022
1939.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Com o número BR 2537 da Galeria Bonino no verso. Reproduzido na p. 89, sob o número 1090 (FCO1884),do livro Candido Portinari: catálogo raisonné(Projeto Portinari/Petrobras, 2004), v.2. Esta obra entrou em pregão com o lance inicial de R$6.200,00.",Leilão Soraia Cals Outubro de 2005,Pinturas,Candido Portinari (1903-1962),Mulher com Criança,https://www.catalogodasartes.com.br/obra/zGADP/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_32719.jpg,monotipia sobre papel,False,,,,,,24.0,27.5,8600.0,3510.2,outro,True,2005
,https://www.catalogodasartes.com.br/cotacao/artista/Djanira%20da%20Motta%20e%20Silva/,"""Anjos da Anunciação"", Gravura editada por Mario de La Parra, n/d, 23 x 13,5, ACID- sem moldura - Texto transcrito do catálogo do leilão.",Leilão Gala 18 de Setembro de 2014,Pinturas,Djanira da Motta e Silva,Anjos da Anunciação,https://www.catalogodasartes.com.br/obra/DBzPzc/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_153938.jpg,Gravura,False,,,,,,13.5,23.0,700.0,300.43,reprodução,False,2014
,https://www.catalogodasartes.com.br/cotacao/artista/Djanira%20da%20Motta%20e%20Silva/,"Sem título - Serigrafia s/n - 26 x 24 cm - Esta obra entrou em leilão com o lance inicial de R$90,00",Leilão Arte e Eventos 16 de Julho de 2013,Pinturas,Djanira da Motta e Silva,Sem título,https://www.catalogodasartes.com.br/obra/DDAeBG/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_117052.jpg,Serigrafia,False,,,,,,24.0,26.0,160.0,71.11,reprodução,True,2013
1987.0,https://www.catalogodasartes.com.br/cotacao/artista/Cildo%20Meireles%20%281948%29/,Edição 40/100. Esta obra de arte/objeto não foi vendida durante o leilão. O Catálogo das Artes não recebe informações de obras vendidas posteriormente.,Lordello e Gobbi -Leilão do dia 13/12/2011,Pinturas,Cildo Meireles (1948),Sem título,https://www.catalogodasartes.com.br/obra/AeDzz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_70133.jpg,Serigrafia,False,,,,,,36.0,90.0,1800.0,989.01,reprodução,False,2011
1964.0,https://www.catalogodasartes.com.br/cotacao/artista/Ant%C3%B4nio%20Bandeira%20%281922-1967%29/,"Sem Título, Óleo sobre cartão, 20 x 23 cm, ass. inferior direito, dat. 1964 - Esta obra entrou em leilão com o lance inicial de R$7.100,00",Leilão E-Arte Galeria 18 de Maio de 2013,Pinturas,Antônio Bandeira (1922-1967),Sem Título,https://www.catalogodasartes.com.br/obra/DDDAUG/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_111742.jpg,Óleo sobre cartão,False,,,,,,23.0,20.0,13000.0,6403.94,pintura,True,2013
1955.0,https://www.catalogodasartes.com.br/cotacao/artista/Annita%20Catarina%20Malfatti%20-%20Anita%20Malfatti%20-%20Anita%20Malfati/,"Apresenta certificado de autenticidade - Esta obra entrou em leilão com o lance inicial de R$ 17.500,00",Leilão Palácio dos leiloes dezembro de 2012,Pinturas,Annita Catarina Malfatti - Anita Malfatti - Anita Malfati,Vaso de Flor,https://www.catalogodasartes.com.br/obra/PDcze/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_91830.jpg,Aquarela,False,,,,,,36.0,40.0,17500.0,8293.84,pintura,True,2012
1994.0,https://www.catalogodasartes.com.br/cotacao/artista/Cildo%20Meireles%20%281948%29/,"(Rio de Janeiro, RJ 1948) lito offset 1 nota frente e verso ""Zero Dollar"" 1994 7x5cm perfeito estado sem moldura. - Texto transcrito do catálogo do leilão.",Leilão Puliti 27 de Setembro de 2016,Pinturas,Cildo Meireles (1948),Zero Dollar,https://www.catalogodasartes.com.br/obra/AzBGBG/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_735252.jpg,Lito offset,False,,,,,,5.0,7.0,1500.0,462.96,reprodução,False,2016
