Contemporâneo,Figurativo,Pop,Moderno,Conceitual,Abstrato,Retrato,Surrealista,Outro Tema,Paisagem,Natureza,Clássico,Realista,Minimalista,Expressionista,Vintage,Streetart,Impressionista,Pintura,Gravura,Técnica Mista,Outra Técnica,Desenho,Escultura,Fotografia,Livro,Colorido,Monocromático,Size,Price,Artist,Title,Image_Url,Marketplace
True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,2700.0,3500.0,Felipe Goes,Gravura 202210,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17630/KbMyg8DMc8xdunysDPCCN015062023113354.webp,Artsoul
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,704.0,1500.0,marianna cury,Peaches I,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17583/n1G3nzBXtYlOdlj0HesMyP25052023144324.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,19200.0,19000.0,Alê Jordão,Vans Half Cab,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17310/rt2oZ4GCGKOzXrmocSKGjf06042023150021.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,19200.0,19000.0,Alê Jordão,Nike Dunk,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17311/klXmMxQcGkZsadcOqNSPsN06042023151502.webp,Artsoul
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,900.0,2500.0,Lucila Sartori,Cântico,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/1641/eP3G9QkzeQYE2rN2HGinPC23032022004528.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2160.0,2800.0,Cristina Canepa,Sem Título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/16757/1CFrg5kSm1MoWbwxGm7S9f28112022125204.webp,Artsoul
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2478.0,4000.0,Thamyres Donadio,Série Altar,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/862/lLGaYhEfoRhiiEI310xXdD22032022222600.webp,Artsoul
True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,8000.0,8900.0,Verônica Alkmim França,STHLM,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/15752/kHkvxAosVZHO9gdWwnumvS01062022132441.webp,Artsoul
True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,1139.0,2500.0,Deneir,Amor Enroscado,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/5394/rKYvxJUoNiOW0VCd3Mms4a23032022065758.webp,Artsoul
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,7200.0,10000.0,Alberto Cedrón,Alberto Cedrón - Escultura,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/12294/XHAxBoytsG5YdURKEkrWrL23032022230744.webp,Artsoul
